mode,model,train_day,test_day,accuracy,loss,num_samples,rounds,local_epochs,normalize,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6,f1_class_7,f1_class_8,f1_class_9
federated,baseline,0,0,1.0,1.6594422049820423e-06,1500,10,1,zscore,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
federated,baseline,0,1,0.9100000262260437,0.9724969267845154,1000,10,1,zscore,0.9854,0.9674,0.932,0.8899,0.9383,0.85,0.8438,0.9045,0.8941,0.8851
federated,baseline,0,2,0.8289999961853027,1.3564867973327637,1000,10,1,zscore,0.0198,0.9848,0.9903,0.9187,0.9596,0.9369,0.5311,0.9053,0.9524,0.8272
federated,baseline,1,0,0.9493333101272583,0.8609650135040283,1500,10,1,zscore,1.0,1.0,1.0,0.6479,0.9969,0.9964,0.7934,1.0,1.0,1.0
federated,baseline,1,1,0.9819999933242798,0.07905776053667068,1000,10,1,zscore,1.0,0.9617,0.9744,0.9951,0.9702,0.9634,0.9906,0.995,0.9787,0.9896
federated,baseline,1,2,0.9449999928474426,0.7184321880340576,1000,10,1,zscore,1.0,0.9794,0.9903,0.8293,1.0,0.9806,0.814,1.0,0.977,0.8889
federated,baseline,2,0,0.8926666378974915,1.2370511293411255,1500,10,1,zscore,0.0,0.9932,0.9933,0.9895,0.9879,0.9964,0.9897,0.9908,0.678,1.0
federated,baseline,2,1,0.9509999752044678,0.35764268040657043,1000,10,1,zscore,1.0,0.8876,0.8848,0.9469,0.9573,0.9479,0.9608,0.9899,0.9684,0.9626
federated,baseline,2,2,0.9700000286102295,0.3712018132209778,1000,10,1,zscore,1.0,1.0,1.0,0.9787,1.0,1.0,0.875,1.0,1.0,0.8415
federated,improved,0,0,0.9993333220481873,0.0008853781037032604,1500,10,1,zscore,1.0,1.0,1.0,1.0,0.9969,0.9964,1.0,1.0,1.0,1.0
federated,improved,0,1,0.9089999794960022,0.5882595181465149,1000,10,1,zscore,0.9484,0.9622,0.9187,0.8909,0.9351,0.8367,0.8673,0.901,0.9112,0.9162
federated,improved,0,2,0.9399999976158142,0.6047993898391724,1000,10,1,zscore,0.9901,0.9848,0.9855,0.9552,0.9688,0.9364,0.8108,0.9688,0.9709,0.8199
federated,improved,1,0,0.8659999966621399,0.350008100271225,1500,10,1,zscore,0.0637,0.9966,1.0,0.7797,0.9969,0.9964,0.8471,0.9969,0.6852,1.0
federated,improved,1,1,0.9879999756813049,0.03636976704001427,1000,10,1,zscore,1.0,0.9677,0.9845,0.9901,0.9741,0.9898,0.9859,0.995,1.0,0.9948
federated,improved,1,2,0.9470000267028809,0.3733212947845459,1000,10,1,zscore,1.0,0.9645,0.9754,0.9153,0.9948,0.9808,0.8287,1.0,0.9813,0.8364
federated,improved,2,0,0.8960000276565552,0.45537787675857544,1500,10,1,zscore,0.0,0.9966,0.9967,0.9965,0.9939,0.9964,0.9965,0.9969,0.678,1.0
federated,improved,2,1,0.9480000138282776,0.2459491491317749,1000,10,1,zscore,1.0,0.8791,0.932,0.9423,0.9461,0.9239,0.951,0.9848,0.9634,0.9514
federated,improved,2,2,0.9660000205039978,0.28192928433418274,1000,10,1,zscore,1.0,0.9949,1.0,0.9787,1.0,0.9952,0.8642,1.0,1.0,0.8199
centralized,baseline,0,0,1.0,4.1463317757006735e-06,1500,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
centralized,baseline,0,1,0.9210000038146973,0.525858998298645,1000,,,,0.9854,0.9727,0.9366,0.905,0.9262,0.8643,0.8776,0.9072,0.907,0.9282
centralized,baseline,0,2,0.847000002861023,0.8695281147956848,1000,,,,0.0,0.9848,0.9854,0.9694,0.9744,0.8607,0.8134,0.6667,0.9763,0.8824
centralized,improved,0,0,1.0,4.006185008620378e-06,1500,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
centralized,improved,0,1,0.8880000114440918,0.8465457558631897,1000,,,,0.9712,0.9133,0.9187,0.8718,0.9292,0.85,0.7892,0.8455,0.9133,0.8721
centralized,improved,0,2,0.9129999876022339,0.8507087230682373,1000,,,,0.8506,0.9848,0.9903,0.837,0.9503,0.963,0.8407,0.9557,0.9533,0.7821
